PID,CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,KA_name,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,mobile_ratio,fix_ratio
112669637,Bronze,SOHO,4400.0,MT,2,0.0,0.0,2,49.67,0.0,49.67,24.84,0,1.0,0.0
112669683,Bronze,SOHO,4600.0,DS,3,0.0,0.0,3,49.67,0.0,49.67,16.56,0,1.0,0.0
833150435,Bronze,SOHO,6100.0,VM,5,3.0,0.0,8,49.83,0.0,49.83,9.97,0,1.0,0.0
112656846,Bronze,SOHO,4400.0,MT,4,1.0,0.0,5,49.83,0.0,49.83,12.46,0,1.0,0.0
123535461,Bronze,SOHO,6000.0,UNKNOW,4,0.0,0.0,4,49.83,0.0,49.83,12.46,0,1.0,0.0
40097975,Bronze,SOHO,4600.0,AD,3,0.0,0.0,3,50.0,0.0,50.0,16.67,0,1.0,0.0
825122297,Bronze,SOHO,4220.0,VT,2,0.0,0.0,2,50.0,0.0,50.0,25.0,0,1.0,0.0
9039391461,Bronze,SOHO,6450.0,VM,10,0.0,0.0,10,50.0,0.0,50.0,5.0,0,1.0,0.0
123678491,Bronze,SOHO,6000.0,VM,4,0.0,0.0,4,50.17,0.0,50.17,12.54,0,1.0,0.0
123679159,Bronze,SOHO,6100.0,VM,4,2.0,0.0,6,50.17,0.0,50.17,12.54,0,1.0,0.0
200143630,Bronze,SOHO,6000.0,VM,4,0.0,0.0,4,50.17,0.0,50.17,12.54,1,1.0,0.0
115109387,Bronze,SOHO,4000.0,AD,2,9.0,0.0,11,50.17,0.0,50.17,25.09,0,1.0,0.0
126034174,Bronze,SOHO,6490.0,RJ,2,1.0,0.0,3,50.17,0.0,50.17,25.09,0,1.0,0.0
115021082,Bronze,SOHO,4300.0,VU,2,1.0,0.0,3,50.33,0.0,50.33,25.17,0,1.0,0.0
123688382,Bronze,VSE,6000.0,VM,3,1.0,0.0,4,50.33,0.0,50.33,16.78,0,1.0,0.0
833089740,Bronze,SOHO,6260.0,VM,5,0.0,0.0,5,50.33,0.0,50.33,10.07,1,1.0,0.0
123515868,Bronze,SOHO,6000.0,DI,4,1.0,0.0,5,50.33,0.0,50.33,12.58,0,1.0,0.0
123668892,Bronze,SOHO,6100.0,DI,4,2.0,0.0,6,50.33,0.0,50.33,12.58,0,1.0,0.0
8511178487SMB,Bronze,SOHO,6400.0,DI,3,1.0,0.0,4,50.33,0.0,50.33,16.78,0,1.0,0.0
340818,Bronze,SOHO,4500.0,VU,4,0.0,0.0,4,50.5,0.0,50.5,12.63,0,1.0,0.0
20482134,Bronze,SOHO,4002.0,VU,2,0.0,0.0,2,50.5,0.0,50.5,25.25,0,1.0,0.0
201642522,Bronze,SOHO,6000.0,VM,8,0.0,0.0,8,50.5,0.0,50.5,6.31,0,1.0,0.0
123717631,Bronze,SOHO,6000.0,DI,3,0.0,0.0,3,50.5,0.0,50.5,16.83,0,1.0,0.0
160069125,Bronze,SOHO,4004.0,AD,3,0.0,0.0,3,50.5,0.0,50.5,16.83,0,1.0,0.0
345498,Bronze,SOHO,4500.0,VU,3,0.0,0.0,3,50.67,0.0,50.67,16.89,0,1.0,0.0
123709734,Bronze,SOHO,6100.0,VM,2,1.0,0.0,3,50.67,0.0,50.67,25.34,0,1.0,0.0
123636923,Bronze,SOHO,6000.0,DI,3,3.0,0.0,6,50.67,0.0,50.67,16.89,0,1.0,0.0
30018641,Bronze,SOHO,8000.0,UNKNOW,3,1.0,0.0,4,50.67,0.0,50.67,16.89,0,1.0,0.0
122069808,Bronze,SOHO,1142.0,RJ,6,0.0,0.0,6,50.67,0.0,50.67,8.45,0,1.0,0.0
176228242,Bronze,SOHO,6300.0,RJ,3,0.0,0.0,3,50.67,0.0,50.67,16.89,0,1.0,0.0
836234073,Bronze,SOHO,6300.0,RJ,4,2.0,0.0,6,50.67,0.0,50.67,12.67,0,1.0,0.0
112634547,Bronze,SOHO,4500.0,AD,4,0.0,0.0,4,50.83,0.0,50.83,12.71,0,1.0,0.0
115744365,Bronze,SOHO,4300.0,AD,4,0.0,0.0,4,50.83,0.0,50.83,12.71,0,1.0,0.0
200153998,Bronze,SOHO,6010.0,VM,3,2.0,0.0,5,50.83,0.0,50.83,16.94,0,1.0,0.0
112583743,Bronze,SOHO,4400.0,MT,5,1.0,0.0,6,51.0,0.0,51.0,10.2,0,1.0,0.0
115002588,Bronze,SOHO,4004.0,AD,6,1.0,0.0,7,51.0,0.0,51.0,8.5,0,1.0,0.0
115628139,Bronze,SOHO,4230.0,AD,3,5.0,0.0,8,51.0,0.0,51.0,17.0,0,1.0,0.0
115665715,Bronze,SOHO,4000.0,AD,4,1.0,0.0,5,51.0,0.0,51.0,12.75,0,1.0,0.0
112019017,Bronze,SOHO,4580.0,MT,5,0.0,0.0,5,51.0,0.0,51.0,10.2,0,1.0,0.0
201906308,Bronze,SOHO,6000.0,VM,5,0.0,0.0,5,51.0,0.0,51.0,10.2,0,1.0,0.0
123514848,Bronze,SOHO,6014.0,DI,4,2.0,0.0,6,51.0,0.0,51.0,12.75,0,1.0,0.0
123689185,Bronze,VSE,6000.0,DI,3,1.0,0.0,4,51.0,0.0,51.0,17.0,0,1.0,0.0
123017547,Bronze,SOHO,6000.0,DI,1,0.0,0.0,1,26.33,24.83,51.16,26.33,0,0.514659890539484,0.485340109460516
115256362,Bronze,SOHO,4004.0,AD,6,0.0,0.0,6,51.17,0.0,51.17,8.53,0,1.0,0.0
126731951,Lead,SOHO,6400.0,DI,6,0.0,0.0,6,51.17,0.0,51.17,8.53,0,1.0,0.0
160083350,Bronze,SOHO,4003.0,AD,3,2.0,0.0,5,51.17,0.0,51.17,17.06,0,1.0,0.0
115324287,Bronze,SOHO,4000.0,AD,5,0.0,0.0,5,51.33,0.0,51.33,10.27,0,1.0,0.0
115541742,Bronze,SOHO,4230.0,VT,5,0.0,0.0,5,51.33,0.0,51.33,10.27,0,1.0,0.0
833040227,Bronze,SOHO,6000.0,VM,6,0.0,0.0,6,51.33,0.0,51.33,8.56,0,1.0,0.0
833157497,Bronze,SOHO,6200.0,VM,4,0.0,0.0,4,51.33,0.0,51.33,12.83,0,1.0,0.0
123746405,Bronze,SOHO,6000.0,DI,3,2.0,0.0,5,51.33,0.0,51.33,17.11,0,1.0,0.0
115117932,Bronze,SOHO,4002.0,AD,6,5.0,0.0,11,51.33,0.0,51.33,8.56,0,1.0,0.0
115765313,Bronze,SOHO,4021.0,VU,1,4.0,0.0,5,51.5,0.0,51.5,51.5,0,1.0,0.0
108038961,Bronze,SOHO,6300.0,RJ,5,2.0,0.0,7,51.5,0.0,51.5,10.3,0,1.0,0.0
126074934,Bronze,SOHO,6300.0,RJ,5,1.0,0.0,6,51.5,0.0,51.5,10.3,1,1.0,0.0
112626657,Bronze,SOHO,4400.0,MT,2,1.0,0.0,3,51.67,0.0,51.67,25.84,0,1.0,0.0
115018037,Bronze,SOHO,4170.0,AD,5,0.0,0.0,5,51.67,0.0,51.67,10.33,0,1.0,0.0
123731321,Bronze,SOHO,6000.0,VM,2,0.0,0.0,2,51.67,0.0,51.67,25.84,0,1.0,0.0
123634936,Bronze,SOHO,6000.0,DI,1,0.0,0.0,1,51.67,0.0,51.67,51.67,0,1.0,0.0
123728670,Bronze,SOHO,6000.0,DI,6,0.0,0.0,6,51.67,0.0,51.67,8.61,0,1.0,0.0
40121216,Bronze,SOHO,6000.0,UNKNOW,3,6.0,0.0,9,51.67,0.0,51.67,17.22,0,1.0,0.0
123691421,Bronze,SOHO,6000.0,UNKNOW,4,0.0,0.0,4,51.67,0.0,51.67,12.92,0,1.0,0.0
123762338,Bronze,SOHO,6260.0,UNKNOW,4,4.0,0.0,8,51.67,0.0,51.67,12.92,0,1.0,0.0
20358873,Bronze,SOHO,4400.0,MT,4,1.0,0.0,5,51.83,0.0,51.83,12.96,0,1.0,0.0
833051280,Bronze,SOHO,6000.0,VM,2,1.0,0.0,3,51.83,0.0,51.83,25.92,0,1.0,0.0
833115263,Bronze,SOHO,6000.0,VM,5,0.0,0.0,5,51.83,0.0,51.83,10.37,0,1.0,0.0
833122293,Bronze,SOHO,6165.0,VM,4,4.0,1.0,9,51.83,0.0,51.83,12.96,0,1.0,0.0
160124911,Bronze,SOHO,4000.0,AD,3,0.0,0.0,3,51.83,0.0,51.83,17.28,0,1.0,0.0
126058920,Bronze,SOHO,6300.0,UNKNOW,7,1.0,0.0,8,51.83,0.0,51.83,7.4,0,1.0,0.0
126623856,Bronze,SOHO,6500.0,RJ,12,13.0,0.0,25,51.83,0.0,51.83,4.32,0,1.0,0.0
112055404,Bronze,SOHO,4579.0,MT,7,1.0,0.0,8,52.0,0.0,52.0,7.43,0,1.0,0.0
112600491,Bronze,SOHO,4600.0,AD,5,0.0,0.0,5,52.0,0.0,52.0,10.4,0,1.0,0.0
112598019,Bronze,SOHO,4400.0,MT,5,1.0,0.0,6,52.0,0.0,52.0,10.4,0,1.0,0.0
112610560,Bronze,SOHO,4500.0,VU,1,0.0,0.0,1,52.0,0.0,52.0,52.0,0,1.0,0.0
40416405,Bronze,SOHO,6100.0,DI,4,0.0,0.0,4,52.17,0.0,52.17,13.04,1,1.0,0.0
123639321,Bronze,SOHO,6000.0,DI,2,1.0,0.0,3,52.17,0.0,52.17,26.09,0,1.0,0.0
112609316,Bronze,SOHO,4400.0,MT,4,1.0,0.0,5,52.17,0.0,52.17,13.04,0,1.0,0.0
123638034,Bronze,SOHO,6100.0,UNKNOW,1,0.0,0.0,1,52.17,0.0,52.17,52.17,0,1.0,0.0
123725051,Bronze,SOHO,6000.0,UNKNOW,5,3.0,0.0,8,52.17,0.0,52.17,10.43,0,1.0,0.0
123673067,Bronze,SOHO,6280.0,VM,3,1.0,0.0,4,52.33,0.0,52.33,17.44,0,1.0,0.0
112589592,Bronze,SOHO,4400.0,MT,4,1.0,0.0,5,52.33,0.0,52.33,13.08,0,1.0,0.0
200201788,Iron,SOHO,6300.0,RJ,7,0.0,0.0,7,52.33,0.0,52.33,7.48,0,1.0,0.0
833104690,Bronze,SOHO,6000.0,VM,5,0.0,0.0,5,52.5,0.0,52.5,10.5,0,1.0,0.0
123523861,Bronze,SOHO,6000.0,DI,2,0.0,0.0,2,52.5,0.0,52.5,26.25,0,1.0,0.0
112017115,Bronze,SOHO,4644.0,MT,4,0.0,0.0,4,52.67,0.0,52.67,13.17,0,1.0,0.0
115287482,Iron,SOHO,4018.0,AD,4,1.0,0.0,5,52.67,0.0,52.67,13.17,1,1.0,0.0
123023144,Bronze,SOHO,6000.0,DI,4,0.0,0.0,4,52.67,0.0,52.67,13.17,0,1.0,0.0
102026201,Bronze,SOHO,8470.0,UNKNOW,4,0.0,0.0,4,52.67,0.0,52.67,13.17,0,1.0,0.0
115646608,Bronze,SOHO,4002.0,VU,3,2.0,0.0,5,52.83,0.0,52.83,17.61,0,1.0,0.0
115330777,Bronze,SOHO,4350.0,VT,4,4.0,0.0,8,52.83,0.0,52.83,13.21,0,1.0,0.0
123747375,Bronze,SOHO,6260.0,VM,3,0.0,0.0,3,52.83,0.0,52.83,17.61,0,1.0,0.0
123635272,Bronze,SOHO,6000.0,DI,3,0.0,0.0,3,52.83,0.0,52.83,17.61,0,1.0,0.0
115102492,Bronze,SOHO,4006.0,AD,2,4.0,0.0,6,52.83,0.0,52.83,26.42,0,1.0,0.0
202518357,Bronze,SOHO,4000.0,VU,3,0.0,1.0,4,53.0,0.0,53.0,17.67,0,1.0,0.0
123659498,Bronze,SOHO,6000.0,VM,4,1.0,0.0,5,53.0,0.0,53.0,13.25,0,1.0,0.0
833163596,Bronze,SOHO,6000.0,VM,6,3.0,0.0,9,53.0,0.0,53.0,8.83,0,1.0,0.0
112110338,Iron,SOHO,4004.0,AD,2,8.0,0.0,10,53.0,0.0,53.0,26.5,0,1.0,0.0
200169435,Bronze,SOHO,1505.0,UNKNOW,5,1.0,0.0,6,53.0,0.0,53.0,10.6,0,1.0,0.0
202134690,Iron,SOHO,4000.0,VU,6,0.0,0.0,6,53.17,0.0,53.17,8.86,0,1.0,0.0
825150243,Bronze,VSE,4023.0,AD,2,2.0,0.0,4,53.33,0.0,53.33,26.67,0,1.0,0.0
200178962,Silver,SOHO,6400.0,VM,2,2.0,1.0,5,53.33,0.0,53.33,26.67,0,1.0,0.0
